## RECSRecommendations Upload File
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.
## RECS
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.source,entity.publishedDate,entity.author,entity.tags,entity.readTime
"bbc-2026-09-09-police-officer-s-funeral-to-take-place-after-a66-crash-that-","Police officer's funeral to take place after A66 crash that killed seven","world","PC Matthew Blades' family say he brought light and laughter into every room.","https://ichef.bbci.co.uk/ace/branded_news/1200/cpsprodpb/7fe1/live/01e5c160-ab94-11f1-aa04-efbf6a882854.jpg","0","https://chronicle-bice.vercel.app/article/bbc-2026-09-09-police-officer-s-funeral-to-take-place-after-a66-crash-that-","1","0","BBC","2026-09-09","","","1"
"bbc-2026-09-09-are-women-better-than-men-at-endurance-running","Are women better than men at endurance running?","world","Women have beaten men in some high-profile endurance events in recent months - are they better suited to these challenges?","https://ichef.bbci.co.uk/ace/branded_sport/1200/cpsprodpb/9881/live/864cfb20-ab63-11f1-9647-01c7ddc5a2b1.jpg","0","https://chronicle-bice.vercel.app/article/bbc-2026-09-09-are-women-better-than-men-at-endurance-running","1","0","BBC","2026-09-09","","","7"
"bbc-2026-09-09-england-to-extend-head-coach-borthwick-s-contract","England to extend head coach Borthwick's contract","world","England head coach Steve Borthwick will have his contract extended past the 2028 Six Nations in a bid to avoid uncertainty over his future before and during next year's Rugby World Cup.","https://ichef.bbci.co.uk/ace/branded_sport/1200/cpsprodpb/9a5e/live/9cff5010-ac13-11f1-940e-bf738e043799.jpg","0","https://chronicle-bice.vercel.app/article/bbc-2026-09-09-england-to-extend-head-coach-borthwick-s-contract","1","0","BBC","2026-09-09","","","4"
"techcrunch-2026-09-09-google-deepmind-alumni-are-building-tools-to-accelerate-fusi","Google DeepMind alumni are building tools to accelerate fusion power for the grid","tech","Fusionality is developing control systems and simulation environments to help fusion power startups move faster.","https://techcrunch.com/wp-content/uploads/2026/09/Fusionality_Founders_3.jpeg?resize=1200,800","0","https://chronicle-bice.vercel.app/article/techcrunch-2026-09-09-google-deepmind-alumni-are-building-tools-to-accelerate-fusi","1","0","TechCrunch","2026-09-09","Tim De Chant","","4"
"bbc-2026-09-09-singaporean-man-pleads-guilty-in-us-to-massive-crypto-heist","Singaporean man pleads guilty in US to massive crypto heist","business","Malone Lam and his associates used the proceeds of their crimes to fund a luxurious lifestyle, US authorities said.","https://ichef.bbci.co.uk/ace/branded_news/1200/cpsprodpb/7c7a/live/c2fc9470-abfb-11f1-8c98-1196ec471ea3.jpg","0","https://chronicle-bice.vercel.app/article/bbc-2026-09-09-singaporean-man-pleads-guilty-in-us-to-massive-crypto-heist","1","0","BBC","2026-09-09","","","3"
"bbc-2026-09-09-south-park-creators-rename-show-south-america-in-apparent-di","South Park creators rename show 'South America' in apparent dig at Trump","world","Since beginning his second term, the US president has said he wanted to use the word 'America' to rename a lake, a gulf and even a US state.","https://ichef.bbci.co.uk/ace/branded_news/1200/cpsprodpb/d37d/live/be700670-ac06-11f1-afbf-77fe6d25f635.jpg","0","https://chronicle-bice.vercel.app/article/bbc-2026-09-09-south-park-creators-rename-show-south-america-in-apparent-di","1","0","BBC","2026-09-09","","","2"
"theverge-2026-09-09-apple-s-foldable-iphone-duo-will-reportedly-start-at-2-000","Apple’s foldable ‘iPhone Duo’ will reportedly start at $2,000","tech","With only a few hours left until the first iPhone launch event since John Ternus took over as the CEO of Apple, Bloomberg reporter Mark Gurman says the name of the company's long-rumored folding phone is the iPhone Duo. The midnight report suggests it will have a price starting at $2,000 for a model with 256GB of storage, or around $3,000 for up to 2TB. Shipping is said to start as soon as October","https://platform.theverge.com/wp-content/uploads/sites/2/2025/02/STK071_APPLE_B.jpg?quality=90&strip=all&crop=0,10.732984293194,100,78.534031413613","0","https://chronicle-bice.vercel.app/article/theverge-2026-09-09-apple-s-foldable-iphone-duo-will-reportedly-start-at-2-000","1","0","The Verge","2026-09-09","Richard Lawler","Apple,Apple Event 2026,Apple Rumors,Foldable Phones,iPhone,Mobile,News,Tech","1"
"bbc-2026-09-09-divorcing-abusive-husband-cost-woman-105k","Divorcing abusive husband cost woman £105k","world","Annabelle Boucher wants the law changed after she paid thousands to divorce her coercive ex-husband.","https://ichef.bbci.co.uk/ace/branded_news/1200/cpsprodpb/5421/live/7e7cdc30-a78f-11f1-9bb7-af8e8fd3d806.jpg","0","https://chronicle-bice.vercel.app/article/bbc-2026-09-09-divorcing-abusive-husband-cost-woman-105k","1","0","BBC","2026-09-09","","","3"
"bbc-2026-09-09-we-were-target-of-sinister-heating-oil-theft-and-want-to-war","'We were target of sinister heating oil theft and want to warn others'","business","A charity is warning about the risk of home heating oil thefts after falling victim to the crime.","https://ichef.bbci.co.uk/ace/branded_news/1200/cpsprodpb/4d5a/live/22186c40-a7d3-11f1-aed2-8d6da8d75094.jpg","0","https://chronicle-bice.vercel.app/article/bbc-2026-09-09-we-were-target-of-sinister-heating-oil-theft-and-want-to-war","1","0","BBC","2026-09-09","","","4"
"bbc-2026-09-09-mclaren-talks-numb-cars-and-being-captain-of-the-ship-versta","McLaren talks, 'numb' cars and being 'captain of the ship' - Verstappen Q&A","world","In an exclusive interview with BBC Sport, Max Verstappen talks about his new contract at Red Bull and much more.","https://ichef.bbci.co.uk/ace/branded_sport/1200/cpsprodpb/435a/live/4b2504c0-aa32-11f1-bdbb-8bb5df16290b.jpg","0","https://chronicle-bice.vercel.app/article/bbc-2026-09-09-mclaren-talks-numb-cars-and-being-captain-of-the-ship-versta","1","0","BBC","2026-09-09","","","10"
"bbc-2026-09-09-drug-gangs-exploited-and-raped-us-as-teens-then-police-faile","Drug gangs exploited and raped us as teens, then police failed us, women tell BBC","world","Four victims describe being targeted by criminals and then not being taken seriously by the authorities.","https://ichef.bbci.co.uk/ace/branded_news/1200/cpsprodpb/fc94/live/3b4b2720-aacb-11f1-a291-b542ee92de7c.jpg","0","https://chronicle-bice.vercel.app/article/bbc-2026-09-09-drug-gangs-exploited-and-raped-us-as-teens-then-police-faile","1","0","BBC","2026-09-09","","","8"
"techcrunch-2026-09-09-cloudnc-raises-20m-to-automate-manufacturing-s-most-pressing","CloudNC raises $20M to automate manufacturing’s most pressing bottlenecks","tech","UK-based manufacturing software startup CloudNC announced Wednesday a $20 million B extension round, bringing its lifetime total raised amount to $128 million.","https://techcrunch.com/wp-content/uploads/2026/09/Theo-Saville-CloudNC.jpg?resize=1200,675","0","https://chronicle-bice.vercel.app/article/techcrunch-2026-09-09-cloudnc-raises-20m-to-automate-manufacturing-s-most-pressing","1","0","TechCrunch","2026-09-09","Dominic-Madori Davis","","3"
"bbc-2026-09-09-emotional-rollercoaster-lindsay-clancy-jurors-speak-out-on-w","'Emotional rollercoaster' - Lindsay Clancy jurors speak out on what led to mistrial","world","The three jurors said after 40 hours, a lone male juror wouldn't agree with the rest of the panel to find Clancy not guilty by reason of insanity.","https://ichef.bbci.co.uk/ace/branded_news/1200/cpsprodpb/fc45/live/4c0ffde0-abdb-11f1-ba40-a905468c0295.jpg","0","https://chronicle-bice.vercel.app/article/bbc-2026-09-09-emotional-rollercoaster-lindsay-clancy-jurors-speak-out-on-w","1","0","BBC","2026-09-09","","","4"
"bbc-2026-09-09-uk-announces-sanctions-on-west-bank-settlements-prompting-fu","UK announces sanctions on West Bank settlements prompting furious Israeli response","world","Britain's foreign secretary accuses settlers of carrying out the ""ethnic cleansing"" of Palestinians, as Israel responds by shutting the UK consulate in East Jerusalem.","https://ichef.bbci.co.uk/ace/branded_news/1200/cpsprodpb/6cd1/live/8d1d81e0-aba9-11f1-b109-879e35c24276.jpg","0","https://chronicle-bice.vercel.app/article/bbc-2026-09-09-uk-announces-sanctions-on-west-bank-settlements-prompting-fu","1","0","BBC","2026-09-09","","","7"
"bbc-2026-09-09-alan-carr-holds-back-tears-on-special-night-at-national-tele","Alan Carr holds back tears on special night at National Television Awards","world","The comedian and Celebrity Traitors win big - see a full list of winners and nominees from the 26th edition of the awards.","https://ichef.bbci.co.uk/ace/branded_news/1200/cpsprodpb/6481/live/d9867910-ac17-11f1-a291-b542ee92de7c.png","0","https://chronicle-bice.vercel.app/article/bbc-2026-09-09-alan-carr-holds-back-tears-on-special-night-at-national-tele","1","0","BBC","2026-09-09","","","6"
"hackernews-2026-09-09-27-5kb-language-agnostic-webgpu-syntax-highlighter","27.5KB language-agnostic WebGPU syntax highlighter","tech","Article URL: https://gpu-lexer.vercel.app/ Comments URL: https://news.ycombinator.com/item?id=49619464 Points: 7 # Comments: 1","","0","https://chronicle-bice.vercel.app/article/hackernews-2026-09-09-27-5kb-language-agnostic-webgpu-syntax-highlighter","1","0","Hacker News","2026-09-09","bpierre","","2"
"hackernews-2026-09-09-codex-silently-begs-agents-to-make-arbitrary-web-requests","Codex silently begs agents to make arbitrary web requests","tech","Article URL: https://spader.zone/wtf/ Comments URL: https://news.ycombinator.com/item?id=49619235 Points: 8 # Comments: 0","","0","https://chronicle-bice.vercel.app/article/hackernews-2026-09-09-codex-silently-begs-agents-to-make-arbitrary-web-requests","1","0","Hacker News","2026-09-09","dboon","","3"
"bbc-2026-09-09-tiafoe-consoles-tearful-michelsen-after-remarkable-us-open-c","Tiafoe consoles tearful Michelsen after remarkable US Open comeback","world","Frances Tiafoe comes from two sets and a break down to beat Alex Michelsen in a thrilling comeback to reach the US Open semi-finals.","https://ichef.bbci.co.uk/ace/branded_sport/1200/cpsprodpb/91af/live/25f87ff0-abe1-11f1-a291-b542ee92de7c.jpg","0","https://chronicle-bice.vercel.app/article/bbc-2026-09-09-tiafoe-consoles-tearful-michelsen-after-remarkable-us-open-c","1","0","BBC","2026-09-09","","","2"
"bbc-2026-09-08-chris-mason-burnham-looks-to-show-he-will-go-further-than-st","Chris Mason: Burnham looks to show he will go further than Starmer with West Bank sanctions","world","It is hoped that coordinated action minimises the blowback to any one country from Israel or America, our political editor writes.","https://ichef.bbci.co.uk/ace/branded_news/1200/cpsprodpb/3b38/live/1708fa90-ac33-11f1-bc1f-3f186ca4140c.jpg","0","https://chronicle-bice.vercel.app/article/bbc-2026-09-08-chris-mason-burnham-looks-to-show-he-will-go-further-than-st","1","0","BBC","2026-09-08","","","4"
"bbc-2026-09-08-thousands-of-teens-missing-education-under-the-radar-of-offi","Thousands of teens missing education 'under the radar' of official stats, report warns","world","The children's commissioner for England says many are enrolled at college but aren't showing up.","https://ichef.bbci.co.uk/ace/branded_news/1200/cpsprodpb/5730/live/d5ee1a10-aba9-11f1-8e72-a346833ed029.jpg","0","https://chronicle-bice.vercel.app/article/bbc-2026-09-08-thousands-of-teens-missing-education-under-the-radar-of-offi","1","0","BBC","2026-09-08","","","3"
"bbc-2026-09-08-very-hot-drinks-may-damage-the-food-pipe-and-increase-cancer","Very hot drinks may damage the food pipe and increase cancer risk","world","Steaming hot liquid can damage the cell lining on the way down to the stomach, experts say.","https://ichef.bbci.co.uk/ace/branded_news/1200/cpsprodpb/0e44/live/ae43a900-ac10-11f1-940e-bf738e043799.jpg","0","https://chronicle-bice.vercel.app/article/bbc-2026-09-08-very-hot-drinks-may-damage-the-food-pipe-and-increase-cancer","1","0","BBC","2026-09-08","","","2"
"bbc-2026-09-08-meta-continues-to-run-ads-promoting-child-sexual-abuse-mater","Meta continues to run ads promoting child sexual abuse material in India - report","tech","The report follows a BBC Eye investigation that found Instagram running paid ads promoting such material in India.","https://ichef.bbci.co.uk/ace/branded_news/1200/cpsprodpb/0c81/live/921c3ba0-ab3b-11f1-8710-d518c99f37f3.jpg","0","https://chronicle-bice.vercel.app/article/bbc-2026-09-08-meta-continues-to-run-ads-promoting-child-sexual-abuse-mater","1","0","BBC","2026-09-08","","","6"
"techcrunch-2026-09-08-white-house-takes-down-build-the-wall-game-after-the-tetris-","White House takes down ‘Build the Wall’ game after the Tetris Company complains","tech","The Trump administration's short-lived arcade game ""Build the Wall"" is now nowhere to be found after the Tetris Company posted that it takes ""copyright infringement very seriously.""","https://techcrunch.com/wp-content/uploads/2026/07/GettyImages-2286058347.jpg?w=1024","0","https://chronicle-bice.vercel.app/article/techcrunch-2026-09-08-white-house-takes-down-build-the-wall-game-after-the-tetris-","1","0","TechCrunch","2026-09-08","Lucas Ropek","","1"
"bbc-2026-09-08-in-the-middle-again-but-mourinho-says-alexander-arnold-not-a","In the middle again - but Mourinho says Alexander-Arnold 'not a midfielder'","world","Trent Alexander-Arnold started in midfield for Real Madrid's win over Inter - but Jose Mourinho says it is not his best position.","https://ichef.bbci.co.uk/ace/branded_sport/1200/cpsprodpb/6ace/live/5b112f80-abd6-11f1-a291-b542ee92de7c.jpg","0","https://chronicle-bice.vercel.app/article/bbc-2026-09-08-in-the-middle-again-but-mourinho-says-alexander-arnold-not-a","1","0","BBC","2026-09-08","","","2"
"bbc-2026-09-08-hegseth-is-shaking-up-the-pentagon-as-the-us-wages-war-but-i","Hegseth is shaking up the Pentagon as the US wages war - but it comes at a cost","world","The upheaval in the military could shape the legacy of Trump's second term, writes the BBC's Tom Bateman.","https://ichef.bbci.co.uk/ace/branded_news/1200/cpsprodpb/6920/live/595923d0-ac19-11f1-a291-b542ee92de7c.png","0","https://chronicle-bice.vercel.app/article/bbc-2026-09-08-hegseth-is-shaking-up-the-pentagon-as-the-us-wages-war-but-i","1","0","BBC","2026-09-08","","","7"
"bbc-2026-09-08-constantly-on-my-mind-9-11-agony-endures-for-bereaved-25-yea","'Constantly on my mind' - 9/11 agony endures for bereaved, 25 years on","world","As the 25th anniversary approaches, the wait for the alleged mastermind of the attack to be put on trial goes on.","https://ichef.bbci.co.uk/ace/branded_news/1200/cpsprodpb/e4b4/live/02617840-ac1c-11f1-a291-b542ee92de7c.png","0","https://chronicle-bice.vercel.app/article/bbc-2026-09-08-constantly-on-my-mind-9-11-agony-endures-for-bereaved-25-yea","1","0","BBC","2026-09-08","","","8"
"bbc-2026-09-08-should-promotion-depend-on-how-workers-use-ai","Should promotion depend on how workers use AI?","tech","More companies are tying career progression to AI use: is that fair?","https://ichef.bbci.co.uk/ace/branded_news/1200/cpsprodpb/bb6c/live/d0ef5870-900c-11f1-aabc-c3c7aa714117.jpg","0","https://chronicle-bice.vercel.app/article/bbc-2026-09-08-should-promotion-depend-on-how-workers-use-ai","1","0","BBC","2026-09-08","","","7"
"bbc-2026-09-08-i-m-27-and-i-ve-already-written-my-will-here-s-why","I'm 27 and I've already written my will - here's why","world","For many young people making a will may not seem necessary, but here's why you shouldn't put it off.","https://ichef.bbci.co.uk/ace/branded_news/1200/cpsprodpb/217a/live/df5f29c0-964d-11f1-a4de-8772188b26f6.jpg","0","https://chronicle-bice.vercel.app/article/bbc-2026-09-08-i-m-27-and-i-ve-already-written-my-will-here-s-why","1","0","BBC","2026-09-08","","","2"
"bbc-2026-09-08-west-ham-go-top-of-championship-are-they-ready-to-leave-past","West Ham go top of Championship - are they ready to leave past behind?","world","Three wins in a row, top of the table, unity at the club - are West Ham ready to leave the past behind on and off the pitch?","https://ichef.bbci.co.uk/ace/branded_sport/1200/cpsprodpb/5ca1/live/0f01ee70-abd3-11f1-b109-879e35c24276.jpg","0","https://chronicle-bice.vercel.app/article/bbc-2026-09-08-west-ham-go-top-of-championship-are-they-ready-to-leave-past","1","0","BBC","2026-09-08","","","5"
"hackernews-2026-09-08-a-topological-picture-book-rendered","A Topological Picture Book, Rendered","tech","Article URL: https://e-infinity.space/picture-book/ Comments URL: https://news.ycombinator.com/item?id=49618050 Points: 55 # Comments: 7","","0","https://chronicle-bice.vercel.app/article/hackernews-2026-09-08-a-topological-picture-book-rendered","1","0","Hacker News","2026-09-08","mathgenius","","5"
"bbc-2026-09-08-bouaddi-impresses-on-first-start-have-man-city-found-a-gem","Bouaddi impresses on first start - have Man City found 'a gem'?","world","Ayyoub Bouaddi belies his age with a mature Champions League performance on his first Manchester City start to showcase why the club were so intent on signing the 18-year-old.","https://ichef.bbci.co.uk/ace/branded_sport/1200/cpsprodpb/74ba/live/5401f370-abcf-11f1-897e-d7c2bae07186.jpg","0","https://chronicle-bice.vercel.app/article/bbc-2026-09-08-bouaddi-impresses-on-first-start-have-man-city-found-a-gem","1","0","BBC","2026-09-08","","","3"
"theverge-2026-09-08-sony-isn-t-phasing-out-discs-quite-as-quickly-as-we-thought","Sony isn’t phasing out discs quite as quickly as we thought","tech","Sony isn't backing away from its decision to kill the video game disc in January 2028. But Sony isn't shutting down production as quickly as we thought, either. Two months after reports that Sony's last discmaking plant was already being repurposed, the company's discmaking division now says that one widely reported detail was wrong. Originally, it sounded like the division's president said the Th","https://platform.theverge.com/wp-content/uploads/sites/2/chorus/uploads/chorus_asset/file/25717617/247361_PS5_Pro_VPavic_224.jpg?quality=90&strip=all&crop=0,10.761835884455,100,78.47632823109","0","https://chronicle-bice.vercel.app/article/theverge-2026-09-08-sony-isn-t-phasing-out-discs-quite-as-quickly-as-we-thought","1","0","The Verge","2026-09-08","Sean Hollister","Gaming,News,PlayStation","2"
"bbc-2026-09-08-british-israeli-relations-at-lowest-ebb-in-decades","British-Israeli relations at lowest ebb in decades","world","Israel's response to London's trade ban with Israeli settlements in the occupied West Bank shows how important this moment is.","https://ichef.bbci.co.uk/ace/branded_news/1200/cpsprodpb/5143/live/e5381740-ac22-11f1-aed2-8d6da8d75094.jpg","0","https://chronicle-bice.vercel.app/article/bbc-2026-09-08-british-israeli-relations-at-lowest-ebb-in-decades","1","0","BBC","2026-09-08","","","4"
"hackernews-2026-09-08-how-to-build-a-printer","How to build a printer","tech","Article URL: https://nishantjosh.dev/blogs/how-to-build-a-fking-printer/ Comments URL: https://news.ycombinator.com/item?id=49617255 Points: 146 # Comments: 33","https://nishantjosh.dev/blogs/how-to-build-a-fking-printer/og.png","0","https://chronicle-bice.vercel.app/article/hackernews-2026-09-08-how-to-build-a-printer","1","0","Hacker News","2026-09-08","cat-whisperer","","4"
"bbc-2026-09-08-liv-files-for-bankruptcy-protection-with-over-45m-owed-to-pl","LIV files for bankruptcy protection with over $45m owed to players","world","LIV Golf has filed for bankruptcy protection with at least $45m (£33m) owed to players, who will now have the option to leave.","https://ichef.bbci.co.uk/ace/branded_sport/1200/cpsprodpb/584c/live/36426000-aba1-11f1-8e72-a346833ed029.jpg","0","https://chronicle-bice.vercel.app/article/bbc-2026-09-08-liv-files-for-bankruptcy-protection-with-over-45m-owed-to-pl","1","0","BBC","2026-09-08","","","4"
"techcrunch-2026-09-08-hackers-are-stealing-claude-tokens-from-subscribers","Hackers are stealing Claude tokens from subscribers","tech","Last month, a Claude user noticed his account was consuming tokens even though he wasn't working. Anthropic has since warned users about hackers.","https://techcrunch.com/wp-content/uploads/2026/06/GettyImages-2278736523.jpeg?resize=1200,798","0","https://chronicle-bice.vercel.app/article/techcrunch-2026-09-08-hackers-are-stealing-claude-tokens-from-subscribers","1","0","TechCrunch","2026-09-08","Julie Bort","","4"
"techcrunch-2026-09-08-cognition-hits-48b-valuation-signaling-investors-believe-ai-","Cognition hits $48B valuation, signaling investors believe AI coding is far from a winner-take-all market","tech","Cognition's valuation multiple is higher than Cursor's was before selling to SpaceX.","https://techcrunch.com/wp-content/uploads/2026/08/Scott-Wu-of-Cognition.jpg?w=1024","0","https://chronicle-bice.vercel.app/article/techcrunch-2026-09-08-cognition-hits-48b-valuation-signaling-investors-believe-ai-","1","0","TechCrunch","2026-09-08","Marina Temkin","","2"
"bbc-2026-09-08-openai-says-it-cracked-90-year-old-maths-problem-in-88-hours","OpenAI says it cracked 90-year-old maths problem in 88 hours","tech","OpenAI's claim that it solved parts of Navier-Stokes equations has quickly stirred controversy.","https://ichef.bbci.co.uk/ace/branded_news/1200/cpsprodpb/22b2/live/38d45d10-abc3-11f1-a601-7d96c5d5b6ea.jpg","0","https://chronicle-bice.vercel.app/article/bbc-2026-09-08-openai-says-it-cracked-90-year-old-maths-problem-in-88-hours","1","0","BBC","2026-09-08","","","4"
"theverge-2026-09-08-drama-swirls-around-openai-s-legendary-mathematical-mileston","Drama swirls around OpenAI’s legendary mathematical milestone","tech","OpenAI says it found a solution to a major math problem that has remained unsolved for around 90 years, as reported earlier by The New York Times and Wired. In a blog post on Tuesday, OpenAI announced that it discovered a solution to the Navier-Stokes problem - which relates to the flow of liquid and gas - using an internal AI model more powerful than the newly released GPT-6 Astra alongside 10,00","https://platform.theverge.com/wp-content/uploads/sites/2/chorus/uploads/chorus_asset/file/25844039/STK155_OPEN_AI_CVirginia__A.jpg?quality=90&strip=all&crop=0,10.732984293194,100,78.534031413613","0","https://chronicle-bice.vercel.app/article/theverge-2026-09-08-drama-swirls-around-openai-s-legendary-mathematical-mileston","1","0","The Verge","2026-09-08","Emma Roth","AI,News,OpenAI","2"
"techcrunch-2026-09-08-the-exploration-company-nabs-450-million-to-challenge-spacex","The Exploration Company nabs $450 million to challenge SpaceX","tech","The Exploration Company (TEC) has raised $450 million to build reusable spacecraft, in what it describes as “the largest-ever Series C by a European space company.”","https://techcrunch.com/wp-content/uploads/2026/09/GettyImages-1794387622.jpg?resize=1200,800","0","https://chronicle-bice.vercel.app/article/techcrunch-2026-09-08-the-exploration-company-nabs-450-million-to-challenge-spacex","1","0","TechCrunch","2026-09-08","Anna Heim","","4"
"theverge-2026-09-08-rivian-spinout-also-apologizes-for-delays-in-shipping-futuri","Rivian spinout Also apologizes for delays in shipping futuristic e-bikes","tech","Rivian's futuristic e-bike is delayed, and customers are not happy.  Last year, Rivian's micromobility spinoff Also unveiled a new, software-controlled electric bike called the TM-B that immediately set the e-bike world ablaze. With USB-C chargeable battery, removable seat post, and software-controlled pedal-by-wire system, the TM-B set itself apart with a totally unique approach to electric bicyc","https://platform.theverge.com/wp-content/uploads/sites/2/2026/09/gettyimages-2242247597.jpg?quality=90&strip=all&crop=0,10.752607989199,100,78.494784021602","0","https://chronicle-bice.vercel.app/article/theverge-2026-09-08-rivian-spinout-also-apologizes-for-delays-in-shipping-futuri","1","0","The Verge","2026-09-08","Andrew J. Hawkins","Electric Bikes,News,Rideables,Transportation","3"
